sasdate,GDPC1,PCECC96,PCDGx,PCESVx,PCNDx,GPDIC1,FPIx,Y033RC1Q027SBEAx,PNFIx,PRFIx,GCEC1,FGRECPTx,SLCEx,EXPGSC1,IMPGSC1,DPIC96,OUTNFB,OUTBS,INDPRO,IPFINAL,IPCONGD,IPMAT,IPDMAT,IPNMAT,IPDCONGD,IPB51110SQ,IPNCONGD,IPBUSEQ,IPB51220SQ,PAYEMS,USPRIV,MANEMP,SRVPRD,USGOOD,DMANEMP,NDMANEMP,USCONS,USEHS,USFIRE,USINFO,USPBS,USLAH,USSERV,USMINE,USTPU,USGOVT,USTRADE,USWTRADE,CES9091000001,CES9092000001,CES9093000001,CE16OV,UEMPLT5,UEMP5TO14,UEMP15T26,UEMP27OV,LNS13023621,LNS13023557,LNS13023705,LNS13023569,LNS12032194,HOABS,HOANBS,HOUST,HOUST5F,PERMIT,HOUSTMW,HOUSTNE,HOUSTS,HOUSTW,CMRMTSPLx,RSAFSx,AMDMNOx,AMDMUOx,INVCQRMTSPL,WPU0531,WPU0561,OILPRICEx,AHETPIx,CES2000000008x,CES3000000008x,COMPRNFB,RCPHBS,OPHNFB,OPHPBS,ULCBS,ULCNFB,UNLPNBS,AMBSLREAL,M1REAL,M2REAL,MZMREAL,BUSLOANSx,CONSUMERx,NONREVSLx,REALLNx,TOTALSLx,TABSHNOx,TLBSHNOx,LIABPIx,TNWBSHNOx,TARESAx,HNOREMQ027Sx,TFAABSHNOx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,IPMANSICS,IPB51222S,IPFUELS,CLAIMSx,BUSINVx,PERMITNE,PERMITMW,PERMITS,PERMITW,NIKKEI225,TLBSNNCBx,TTAABSNNCBx,TNWMVBSNNCBx,TLBSNNBx,TABSNNBx,TNWBSNNBx,CNCFx,S&P 500,S&P: indust,S&P PE ratio,A014RE1Q156NBEA,A823RL1Q225SBEA,CUMFNS,AWHMAN,HWIx,BAA10YM,TB6M3Mx,GS1TB3Mx,GS10TB3Mx,CPF3MTB3Mx,NWPIx,VXOCLSx,UMCSENTx,TB3SMFFM,T5YFFM,AAAFFM,COMPAPFF,TLBSNNCBBDIx,TLBSNNBBDIx,CIVPART,UNRATE,UNRATESTx,UNRATELTx,LNS14000012,LNS14000025,LNS14000026,AWHNONAG,AWOTMAN,FEDFUNDS,TB3MS,TB6MS,GS1,GS10,AAA,BAA,B020RE1Q156NBEA,B021RE1Q156NBEA,GFDEGDQ188S,GFDEBTNx,UEMPMEAN,CES0600000007,GS5,HWIURATIOx,ISRATIOx,CONSPIx,CP3M,TNWMVBSNNCBBDIx,TNWBSNNBBDIx,S&P div yield
06/01/1968,0.719628046,0.656334889,0.915295945,0.669176868,0.530722751,1.630199291,-0.106119891,-1.06384447,-0.536419473,1.060210751,0.22468348,0.777545568,0.841051892,0.720661863,0.657418646,0.708845628,0.816414514,0.775711741,0.581563667,0.271963323,0.418685042,0.938829581,0.883039009,1.543260112,0.713104992,1.322824413,0.318169293,0.447002369,0.405519583,0.386374223,0.386850809,0.310011831,0.392157973,0.374554716,0.276796397,0.362394822,0.681091589,0.430535234,0.376131689,0.09513501,0.361790897,0.546496298,0.429820719,0.583534611,0.390932243,0.384145045,0.571861688,0.41170451,0.176491972,0.463461106,0.445614479,0.487242026,-0.553247959,-2.035850427,-6.678036693,-8.84731146,-6.804455934,4.792104018,-3.333484066,1.434625617,-0.589400904,0.333779296,0.414763638,0.009948044,5.383292197,-0.089385144,-0.753241347,3.580992312,-0.761298306,-0.049885253,0.387440246,1.178004424,-1.284514007,-0.113496202,0.738504796,-0.310859105,-0.502565705,-0.502436035,0.178551066,0.098468518,0.158994173,0.279665434,0.330515952,0.401727167,0.442028441,0.310069372,0.29882563,0.761053459,0.219958551,0.312260993,0.288444239,-0.035337432,0.659293046,0.572396996,0.454294937,0.75486831,0.513499561,1.263545227,0.848214998,0.139387974,1.31510445,1.493932936,0.462267995,1.599351736,-0.190467151,0.002638485,-0.255260419,-0.288968839,0.546885966,0.406009749,0.376064705,-2.155200348,0.899604233,0.55324886,-1.263797536,0.552414431,-0.213686137,4.269171611,0.477251486,0.424741265,0.481367955,0.908367608,0.319982718,0.184489353,2.269904031,2.926296623,3.21325312,2.935865279,1.5,-2.2,87.2744,40.7,3322,1.28,0.13,0.42,0.22,0.56,497.9861288,15.4897,92.4,-0.46,-0.12,0.2733,0.1,0.0081,253819.17,0.3333,-0.1666,-0.145982604,-0.044952939,0.2,-0.2,-0.3333,0,0.0667,1.1933,0.47,0.4066,0.47,0.1333,0.1266,0.1933,0,0,-1.46572,-40322.4,-0.6,0.1667,0.23,0.083,0.0069,-0.0009,0.5,-67.34,-53.81,-0.1733
09/01/1968,0.335268695,0.806416107,1.911045998,0.548293283,0.686065865,-1.200848829,0.670529398,1.05944113,0.591725448,0.881640589,0.129893322,2.419646525,0.62506804,2.98340976,2.534623723,0.138638567,0.323971679,0.314063304,0.335683495,0.417306349,0.552405172,0.218927012,-0.288704503,1.276646479,0.608952663,0.124210541,0.527934559,0.141101418,0.420325159,0.388901109,0.379833743,0.176387683,0.469994928,0.222673927,0.122168018,0.261673438,0.451019743,0.567487468,0.551478239,0.327716018,0.484561199,0.523546865,0.566555184,0.320829706,0.440503321,0.431295895,0.516624384,0.406940699,0.150709628,0.765531718,0.43027776,0.086068334,0.616288887,-0.724750492,0.23223777,-0.292455302,1.457125993,-2.337994423,0.781924536,-0.568173972,-0.515882021,0.240276084,0.30298826,1.906726691,1.411339049,3.044761595,-0.080058311,7.508560871,2.338986056,-1.112334915,0.421410986,1.170947443,0.099136619,-0.556934576,0.508758161,-0.48316457,-0.167312641,-0.483319311,0.186813364,0.257469113,0.018894389,0.120271439,0.216441678,0.021253969,0.073586089,0.725752357,0.683584519,-0.402437921,0.192622157,0.257188878,0.251519955,-0.141631314,0.60753942,0.836747904,0.440388949,0.449174907,0.512825982,0.311954513,0.30593502,0.167290163,0.312686961,0.341853443,0.206533787,0.2962284,-0.211492757,-0.281565064,-0.043598396,-0.209902008,0.259626387,0.30395307,0.561901662,-0.364909032,0.750706608,-0.615152081,1.67701675,4.881427674,4.666694965,5.16204695,0.939051681,0.525150875,0.36767176,0.628758478,0.295713487,0.218057142,0.571924586,0.829482239,0.724288228,0.255841827,0.8,-2.3,86.6658,40.8,3477,1.4033,0.1,0.31,0.26,0.77,499.9859573,13.3133,92.4,-0.7467,-0.4167,0.1333,0.02,0.0081,254151.55,-0.1667,-0.0334,-0.025237984,-0.001579268,-0.1333,0,-0.0333,0,0.1,-0.0367,-0.3233,-0.3566,-0.4333,-0.2833,-0.1766,-0.16,0.2,0.2,0.34518,30148,0.0333,0.0333,-0.3333,0.0629,0.0034,-0.0007,-0.12,-7.52,-8.88,-0.0179
12/01/1968,0.170474192,0.195461586,-0.255423805,0.473816908,0.010125017,0.469886818,1.015234415,1.48358209,1.16832294,0.605477531,0.039405291,0.553080217,0.361090959,-0.97613107,-0.36752879,0.334751242,0.163557602,0.170204855,0.654517741,0.622858116,0.854196163,0.596211842,0.888450269,0.409347979,1.848072433,1.753256856,0.399642226,0.981716312,0.649492695,0.424499447,0.457313923,0.219876465,0.480542484,0.30906643,0.235566052,0.195225418,1.012465731,0.709234645,0.632468581,0.390022618,0.623393263,0.568384931,0.697958004,-0.882607174,0.463926502,0.270835976,0.528885319,0.383604318,-0.372701289,0.624895508,0.41534863,0.226540434,-1.828783646,-0.183090553,-4.963514562,-1.899393788,-3.201515021,-0.531697159,-1.299564135,0.178358834,-0.447115625,0.255291406,0.268422685,1.71687538,4.423000921,0.836498429,2.073122255,-8.309126363,3.839458313,4.611574321,0.850565421,1.265797683,1.92057353,0.701233445,0.609196478,-0.312534623,-0.501974004,-0.501832974,0.205255076,0.40617822,0.338557797,0.321337569,0.31687009,-0.105359696,-0.085160962,0.93700016,0.960677911,-0.026962253,0.261309141,0.394744112,0.460408918,0.05980798,0.956459451,1.132473886,0.705474287,0.715039017,0.774056657,1.512485787,0.847479322,0.512719718,1.593845213,1.515875286,1.500483783,1.607615939,-0.029287245,-0.193914381,-0.052739857,-0.008093449,0.769812887,1.080592753,0.115739435,-1.334390463,0.782669211,-1.964334204,0.734036317,1.111079534,2.567771343,1.84864286,1.371570247,0.621912033,0.443219896,0.14981441,0.563708182,0.660211103,-0.014301304,2.257335555,2.280162003,1.548688891,0.6,-1.9,87.09,40.8667,3705,1.2567,0.1,0.25,0.18,0.38,514.693494,12.3413,91.7,-0.33,-0.14,0.3267,0.05,0.0084,255113.82,-0.0333,-0.1333,-0.109543644,-0.008774343,-0.3667,-0.1333,-0.0334,-0.1333,0.1666,-0.0266,0.39,0.3933,0.3267,0.31,0.1666,0.1634,-0.1,-0.1,-0.32365,-3289.1,-0.0667,-0.0667,0.25,0.1212,-0.0172,0.001,0,16.89,16.98,-0.1152
03/01/1969,0.674453257,0.478902718,0.814686466,0.378184027,0.479726348,2.48489655,1.194080269,1.556066381,1.097819557,1.441405494,0.098316683,1.775486538,0.396879557,-5.366734644,-4.302611563,0.107556573,0.750366537,0.75372139,0.836760487,0.597778479,0.594290229,0.970106536,0.938958156,1.177340558,0.536251609,-0.782681552,0.592016185,1.047300592,0.77813876,0.436390325,0.451036843,0.348094189,0.441991296,0.424828804,0.540060817,0.044615625,0.762443111,0.691181979,0.575752849,0.250935084,0.563450401,0.513776297,0.686915698,0.754559562,0.325331826,0.367589662,0.422392484,0.27036654,0.58281998,-0.104495446,0.449586218,0.377399857,-0.263608054,0.92580386,1.089806125,-6.72877679,0.354528076,0.387333209,0.58619781,-1.264151593,0.830926237,0.616979859,0.403396322,2.558024369,6.792931113,1.468235184,9.160664311,8.364709396,-0.71499331,-4.001314494,-0.046498768,0.491246894,0.479676002,0.283962471,0.655397542,-0.283147019,0.046888083,0.364888623,0.130973677,0.310692844,0.159719965,0.060906653,-0.312072505,0.347526342,0.136597138,0.079665766,0.241947412,0.971238638,0.095429443,0.248164092,0.20841643,-0.106382307,1.210089993,0.809059133,0.605524233,0.880673793,0.668205917,-0.29798727,-0.593070486,-0.700621346,-0.262323259,-0.593932476,0.731530977,-0.722853433,0.14523226,-0.030601574,0.061826466,0.068746289,0.810654387,1.525370035,-0.189744889,0.576489459,0.797163841,4.080301745,3.977214458,0.140406559,-1.288251519,1.895850502,0.447730235,0.511542406,0.621110022,0.581071952,0.415565479,0.377035944,-0.851219803,-1.811871692,-1.896107779,-2.646271944,1.2,-1.3,87.6597,40.6667,3828,1.2,0.15,0.27,0.08,0.56,510.3285977,14.7376,98.2,-0.4733,-0.2333,0.1333,0.09,0.0087,263667.65,0.2333,0,0.01178802,-0.026916745,-0.1666,-0.0333,0.0334,0.0333,-0.1,0.65,0.5066,0.5567,0.5266,0.4067,0.4567,0.35,-0.7,-0.6,-0.78955,-9977.8,-0.2666,0,0.5566,0.0401,0.0069,0.0008,0.7,55.56,31.62,0.157
06/01/1969,0.131828424,0.279261882,-0.11423713,0.533750105,0.096236196,-0.256606527,0.231719009,0.452702232,0.470709465,-0.40262543,-0.135641431,0.133008612,0.365926683,8.605703075,7.819939458,0.423116724,0.043738048,0.05021776,0.189150994,-0.132290827,-0.377354416,0.540285201,0.222701679,0.880927616,-0.912557492,-2.490702162,-0.162699223,0.675036932,0.609315176,0.412091703,0.442909541,0.226370452,0.463174918,0.306434449,0.221261393,0.234492299,0.80915526,0.575364284,0.568219738,0.448060183,0.519747807,0.545146671,0.575457922,-0.171315261,0.516564317,0.266895495,0.528455742,0.374391337,-0.009983133,0.548685919,0.281016101,0.246183881,2.86833634,-3.710332207,4.334508391,2.209762302,1.161285813,2.08601655,-0.447559658,0.473843146,0.685319546,0.091159512,0.399683815,-3.594972778,-4.70445922,-2.797597861,-12.37031896,-1.930526879,-4.507842082,8.295222777,0.287840369,0.304168934,-0.297295593,0.942638267,0.48362833,-0.327904558,1.112678007,2.436421823,0.214662789,1.043549267,0.058229264,0.016717651,0.417410436,-0.356656036,-0.039883976,1.137411373,1.05345245,-0.495129365,-0.339260241,-0.334700472,-0.299742142,-0.619059456,1.014399888,0.668729862,0.492640215,0.632274096,0.604094716,-0.317076659,0.607202513,0.184093368,-0.429680756,-0.51157002,0.342705336,-0.631289685,0.077460093,0.051863216,-0.005451737,0.11702251,0.124853149,0.341081063,0.974204319,-1.478973663,1.004010983,-2.489288825,-8.715013882,-3.532318228,4.519674874,2.882044743,0.66305789,0.505587179,0.411792045,1.154102304,0.299025303,0.097740034,-0.192175083,0.320106486,0.576286762,-0.578305429,0.9,-4.9,86.9099,40.8,3843,1.2333,0.15,0.38,0.16,1.34,500.405308,15.8268,91.5,-2.13,-1.7967,-1.44,-0.79,0.0088,271969.17,0.1334,0.0333,0.040501718,0.006930557,0.1333,0.0333,0.0666,0,0,1.76,0.1034,0.0966,0.21,0.1766,0.1867,0.21,0.9,0.8,-1.22174,-56416.9,-0.1334,0.1334,0.1967,-0.0224,0.0172,0,0.88,23.34,7.59,0.0081
09/01/1969,0.285913572,0.211220403,-0.120727886,0.350541955,0.163922707,0.872877101,0.621162723,0.565485496,0.976895638,-0.341129079,0.087993995,-1.132625268,0.095811626,-0.73298738,-0.566403335,0.876254546,0.258288376,0.269533461,0.518249293,0.521495676,0.813952826,0.70382045,0.969344211,0.494164413,0.925936713,3.019135315,0.756190662,0.659207636,1.454944531,0.331088314,0.350460772,0.191878917,0.370948739,0.248378011,0.240326923,0.11476229,0.416773478,0.460716219,0.573544702,0.282101284,0.399681194,0.433708866,0.468247397,0.891980858,0.37848599,0.23951419,0.439333475,0.403754855,0.019962475,0.343001247,0.2938542,0.305595036,0.901075485,7.590845994,-3.395118301,6.025388783,-0.504246834,2.643705119,3.839376358,5.155520006,2.337449224,0.128370899,0.209508885,-3.940147001,-4.829089035,-2.832412952,0.286930547,-18.45926807,-2.13589288,-2.755612134,0.368725289,0.517371431,-0.486654702,-0.139795502,0.762492374,-0.311014856,-0.498687299,-0.498678041,0.131280051,0.444971196,0.349840434,0.176146721,0.326617552,0.049682909,0.140480643,0.778033703,0.718614365,-0.091240708,-0.245233845,-0.398181425,-0.317482049,-0.756083831,0.196658463,0.170324784,0.125297458,0.226476784,0.258751461,-0.200561177,0.068182201,-0.808083864,-0.233816071,-0.2796721,0.064079509,-0.357224644,-0.163128727,0.097217479,-0.056374729,0.056380968,0.45154066,1.870334493,0.907835211,3.351329346,0.931512632,-5.951224291,-3.472457501,-0.520122447,-3.504279453,0.210049843,0.653086716,0.698077343,0.540295991,0.840340095,0.032222063,-0.162454378,0.465011294,-3.195679311,-3.058645134,-3.780862763,1,0.8,86.8265,40.6,3756,1.06,0.23,0.63,-0.17,1.46,487.7767847,17.5809,86.4,-1.96,-1.78,-1.92,-0.5,0.0089,274329.73,0.2666,0.1334,0.144039821,0.02206078,0.3333,0.1667,0.0334,-0.0667,-0.0666,0.6566,0.8266,0.9067,1.08,0.5034,0.1766,0.33,-0.1,-0.1,0.04543,17279.9,0.0667,-0.1667,0.6733,-0.1059,0.0069,-0.0018,0.95,2.93,-16.37,0.2575
12/01/1969,-0.212317128,0.345723019,-0.163525753,0.536837137,0.289879355,-2.149299739,-0.975396509,-0.359304241,-0.228626084,-3.088693403,-0.588182188,-0.226632415,-0.09450318,1.121443731,-0.479682159,0.330904927,-0.340941703,-0.335962893,-0.273220006,-0.54693547,-0.461154759,-0.023655216,-0.462264642,0.134801421,-1.191078704,-0.958603542,-0.148945714,-0.369654832,0.521645139,0.162466009,0.131899396,-0.361155105,0.357307147,-0.245217028,-0.552197718,-0.058350137,0.267791363,0.478387839,0.374014137,0.077258576,0.373976193,0.408051131,0.479704673,0.146896389,0.361797743,0.30684908,0.405630788,0.370784132,-0.390942859,0.627497908,0.478486228,0.234057827,-0.321539282,-0.329758713,3.794335523,-2.645243407,3.130399536,0.043206218,-1.679262632,-5.592732946,0.239244332,-0.212150099,-0.132640747,-3.148286471,-6.061926191,-3.466832037,-10.7455079,1.911195602,-2.300056185,0.088803927,0.364853056,1.143470755,-1.02107332,-0.392547847,0.519677847,-0.13297288,-0.505688188,-0.505585888,0.247426714,0.645412367,0.05139679,0.172119107,0.242523788,-0.209254892,-0.123682926,1.02700822,1.041876618,-0.657677417,-0.043917127,-0.311056708,-0.288286411,-0.654231932,0.317395831,0.111959509,0.019288838,-0.020937004,0.164317098,-0.192635894,0.594191597,0.263298806,-0.291308429,-0.423482297,0.568035281,-0.519656914,0.087682334,-0.149578164,0.145334188,-0.120906114,-0.355219216,0.155472581,1.022230971,1.56609679,0.839112792,-3.428451961,-2.669538273,-4.777994339,-2.343031708,4.83102833,1.277428804,0.687033847,0.478692233,0.287964417,0.247864401,0.238115457,-3.002970692,-0.085917058,0.055790047,-0.493158996,0.6,-8.8,85.1586,40.5333,3714,1.0767,0.25,0.55,-0.06,1.27,480.8382568,15.9201,79.7,-1.5867,-1.2733,-1.4733,-0.32,0.0098,295925.39,0.0334,0,0.002949379,-0.011599822,-0.5333,0.1,-0.0667,-0.0666,-0.1,-0.0433,0.33,0.3533,0.2467,0.44,0.4034,0.4566,0.2,0,0.45008,16533,-0.0333,-0.0667,0.4634,-0.0175,-0.0034,-0.001,0.13,141.31,87.17,0.0227
03/01/1970,-0.064534123,0.268639974,-0.668149087,0.467537602,0.36926053,-1.315001143,-0.216706688,-0.302692597,-0.306660785,0.028334886,-0.209350446,-1.991908953,0.414192843,0.569335562,-0.142413503,0.453751453,-0.035702997,-0.032441511,-1.065100931,-0.812870916,-0.55482033,-1.453840651,-2.908518863,-0.261215447,-2.571553576,-5.973377793,0.267103327,-0.904159765,0.53379211,0.098366187,0.054716912,-0.329517762,0.290957175,-0.310232055,-0.53731574,-0.004027226,-0.184914478,0.412718039,0.478554373,-0.042123619,0.263992901,0.298233758,0.409329464,-0.463362055,0.235769898,0.303541519,0.222406035,0.290774462,0.025166783,0.568733737,0.319510129,0.113158199,6.086086672,7.435476098,9.406221585,6.874148703,11.09981716,3.959615239,2.557285498,7.636472634,1.559944612,-0.230723795,-0.174013363,-2.590858214,0.210309497,-3.160357482,-4.343826553,9.160847527,-2.513945338,-8.715013136,-0.951013176,0.38407606,-3.403987172,-1.223173119,0.016469409,-0.287471885,-0.471979027,-0.472063867,0.008070712,0.554848548,-0.013542474,0.091430451,0.130441963,0.139276899,0.197932937,0.621552182,0.642015643,0.121961191,-0.238018431,-0.224704747,-0.528854807,-0.961560716,-0.294106422,0.06298921,-0.05969264,0.138489249,0.043217744,-0.261016893,-1.183751367,-1.637509483,-0.145506981,-0.263112918,-0.25419332,-0.311250036,-0.053394598,-0.023848788,0.162921717,-0.125290943,-1.285809675,0.661758816,0.378265988,9.341663363,0.518342801,-3.302074671,-6.850811761,-1.609975129,-2.020343424,4.134569154,0,0.484168317,0.544106623,-0.181504747,0.151104075,0.231928102,1.909565493,-2.64631506,-2.795609163,-2.627203187,0.2,-6.6,81.8225,40.2333,3360,1.39,-0.02,0.34,0.16,1.34,474.249172,16.9702,78.1,-1.3633,-0.84,-0.68,-0.02,0.0094,282014.6,0.2,0.6,0.54958033,0.027280702,1.4,0.4666,0.4333,-0.2,-0.2667,-0.3667,-0.1433,-0.41,-0.3467,0.07,0.4266,0.3834,0,0,-0.08075,-2349.9,0.2,-0.2666,0.0666,-0.2847,0.0378,-0.0012,-0.07,-56.78,-45.93,0.2204
06/01/1970,0.061591253,0.196294165,0.501080751,0.266959764,-0.027643,0.094303973,-0.901484432,-0.183603684,-0.285383824,-2.748157892,-0.507864344,-0.38396758,0.234919315,1.651029631,0.849885379,0.532291812,0.061650391,0.074579278,-0.239495806,-0.028881424,0.475771751,-0.612465467,-1.231591154,-0.2306297,0.769775316,2.114937356,0.351608162,-0.017796523,0.343380877,-0.087583798,-0.210866153,-0.777937725,0.19358641,-0.694423947,-0.950651549,-0.510416331,-0.300688707,0.257158201,0.32160946,-0.303086828,0.063010997,0.081808034,0.251859005,-0.575515192,0.031818224,0.485635117,0.042169905,0.055958787,0.753231121,0.577783893,0.341635298,-0.079824063,4.463391636,6.742468088,9.891682907,13.18235414,10.00107197,2.638304264,6.92908976,1.061900672,5.357167258,-0.427679465,-0.576918657,2.612915919,-0.421651467,6.806927706,4.239045761,-3.139111518,4.507439458,1.59685077,-0.176644311,0.810890648,-1.044155727,-1.81992265,0.302592601,-0.119281281,-0.488022998,-0.488081559,0.073125868,0.452992386,0.100726242,0.081991035,-0.067513335,0.637783405,0.502800739,0.035119183,0.048276577,1.720159217,0.097110353,-0.282525811,-0.312678685,-1.190515451,-0.336312249,-0.237574691,-0.398282803,-0.279192926,-0.282955886,-1.086409643,0.131257334,-0.401033868,-1.239441662,-1.732827499,0.954584416,-1.975953674,0.013102866,0.108409399,-0.0198799,-0.467972346,-0.337770507,0.759643589,-0.203684207,8.08850465,0.628490471,6.153375352,4.502696981,8.695564291,6.325618697,-3.195862243,0.624894928,0.85812898,0.740449971,0.935160875,0.714782242,0.661221207,3.543075847,-4.923124166,-5.0311379,-4.691718229,0.5,-10.1,80.4238,39.8,2986,1.2633,0.15,0.78,1.04,1.49,455.291127,27.5315,75.4,-1.2033,-0.1067,0.26,0.29,0.0088,265578.17,-0.1,0.6,0.518874077,0.068663889,1.6667,0.5667,0.4667,-0.3,-0.2333,-0.6933,-0.5333,-0.3666,-0.1,0.3466,0.2467,0.22,0.3,0.1,-0.7155,-28929.6,0.4,-0.3334,0.04,-0.2223,0.0207,-0.0029,-0.38,-111.08,-74.88,0.4546
09/01/1970,0.398402117,0.379083398,0.158684077,0.490007262,0.312387285,0.701049344,0.72619577,0.264217377,0.152543356,2.425081237,0.183177391,-1.199187062,0.97686055,0.173504677,-0.09983161,0.688423564,0.462817503,0.468850222,-0.155872736,-0.58698123,-0.295648695,0.287324889,0.144079567,0.19426241,-0.627830774,-3.673597701,-0.162856101,-0.69351142,0.549115434,-0.115490106,-0.167644108,-0.660862128,0.081221413,-0.547526108,-0.934088846,-0.243130767,-0.107326503,-0.00316521,0.196736229,-0.056623203,-0.052045493,0.054453203,0,0.085742104,0.130109874,0.124264887,0.094101686,0.102757911,-1.463459206,0.543215776,0.607046855,-0.010863019,1.353807235,5.468066377,6.606176566,6.666334338,5.045154243,3.798431098,2.618880606,0.977981817,-0.673701003,-0.289077403,-0.21948547,5.297402041,6.01053102,2.926013108,2.098948964,4.693957309,5.551732477,8.126669775,0.2790587,0.785484494,-0.121830317,-1.581396875,0.449355151,-0.479898134,-1.083094614,-1.001683572,0.242858638,0.773480496,0.190092856,0.257527302,0.310625898,0.682739077,0.757664359,0,0.023340382,0.5771154,0.351390426,0.118610183,0.522380111,0.051278767,0.493467806,0.132056237,-0.063803911,-0.249305183,0.056396515,0.925649727,0.165077935,-0.523352441,1.021793993,1.384236442,-0.509183736,1.515916067,-0.054453202,-0.012378035,-0.26472608,-1.591702437,-0.305748814,0.919537284,0.040939243,-1.990111849,0.721514415,3.954012232,5.888205759,1.548144251,1.877404263,-1.559957376,0.411656619,0.282315934,0.220744984,1.089517128,-0.230687373,-0.55816452,-0.724171511,-0.252977114,-0.17902474,0.53100976,0.5,-4.8,79.1145,39.8,2756,1.95,0.18,0.61,1.13,1.51,458.7995447,19.5452,77.6,-0.3767,0.78,1.5167,1.13,0.009,276904.03,-0.0667,0.4,0.379427524,0.042683891,0.4666,0.4667,0.3,-0.0334,-0.1,-1.1767,-0.35,-0.32,-0.5166,-0.2533,0.08,0.4333,-0.1,0,0.19388,23661.4,0.4,-0.1,-0.29,-0.1192,0.0034,-0.001,-0.33,36.65,4.18,0.027
